,word,x,y
0,the,2.5847585201263428,2.0160508155822754
1,of,2.9056124687194824,2.5325989723205566
2,to,0.7839686870574951,1.6231008768081665
3,and,2.928114175796509,3.5936479568481445
4,a,4.12019681930542,2.89961838722229
5,in,2.3547470569610596,3.4188010692596436
6,i,1.7590644359588623,3.7644026279449463
7,he,3.9163403511047363,2.2374298572540283
8,mr,6.721426963806152,2.4451026916503906
9,at,5.674023628234863,4.277560234069824
10,that,0.5852758288383484,2.158285617828369
11,with,4.256433963775635,3.249523878097534
12,was,1.6768711805343628,4.1010355949401855
13,for,3.023092746734619,2.4658708572387695
14,from,6.267114639282227,2.54868221282959
15,had,2.6729519367218018,2.8035120964050293
16,his,3.630173444747925,2.0963921546936035
17,it,0.00562317343428731,1.9689130783081055
18,him,1.0672035217285156,1.436295509338379
19,be,0.021933691576123238,1.5304157733917236
20,which,2.6262354850769043,3.3132050037384033
21,this,2.081821918487549,4.670538425445557
22,me,1.1557210683822632,1.4578173160552979
23,as,1.6432987451553345,3.059912919998169
24,not,-0.480127215385437,1.8667978048324585
25,my,2.0358896255493164,5.976666450500488
26,by,3.5572500228881836,2.091442823410034
27,but,1.433250904083252,3.931701183319092
28,upon,2.416565179824829,1.744429349899292
29,is,1.5360631942749023,4.37952184677124
30,would,-0.49519747495651245,1.4077597856521606
31,an,3.07490873336792,2.218773126602173
32,there,2.052863597869873,3.816044330596924
33,been,1.594468116760254,2.9463961124420166
34,on,2.557481527328491,1.7907705307006836
35,came,6.509254455566406,2.486506223678589
36,evening,6.750157356262207,4.330659866333008
37,have,1.4029514789581299,3.6383981704711914
38,said,0.7060906887054443,2.1278812885284424
39,should,-0.4686869978904724,1.3765920400619507
40,them,2.2819697856903076,3.452606201171875
41,we,5.030905723571777,5.194334506988525
42,were,2.897899627685547,4.43263578414917
43,all,1.689795732498169,3.89874005317688
44,they,0.7025005221366882,2.6285693645477295
45,has,2.348417282104492,3.3478786945343018
46,who,6.227024555206299,2.5805160999298096
47,office,6.024518013000488,2.1958420276641846
48,letter,4.239642143249512,2.414318799972534
49,one,3.1661713123321533,4.074276924133301
50,president,1.1461882591247559,1.4451552629470825
51,day,2.6064279079437256,6.698732852935791
52,mrs,7.28575325012207,4.051136493682861
53,morning,6.041656494140625,5.307710647583008
54,or,2.5674405097961426,3.905705690383911
55,house,7.342422962188721,1.148840308189392
56,told,0.627366840839386,2.120671033859253
57,no,-0.0023944927379488945,2.4520955085754395
58,called,6.69108247756958,2.805189371109009
59,very,1.7141318321228027,6.667734622955322
60,two,4.49100923538208,6.215757846832275
61,if,-0.23405084013938904,1.5747075080871582
62,some,1.9168236255645752,2.39756441116333
63,after,4.616128444671631,4.938089370727539
64,here,6.340095043182373,2.8143651485443115
65,their,1.8649475574493408,2.2924859523773193
66,also,4.643500328063965,2.3481526374816895
67,general,5.421032428741455,1.4349883794784546
68,about,4.267580986022949,5.427545070648193
69,now,2.59954571723938,3.1969518661499023
70,made,1.3820713758468628,2.1257874965667725
71,are,2.6379358768463135,4.595171928405762
72,any,-0.4397568702697754,2.313595771789551
73,could,-0.5556620955467224,1.6640434265136719
74,last,5.939146041870117,6.467451095581055
75,time,1.5995618104934692,5.355526924133301
76,congress,2.307835102081299,2.2318060398101807
77,before,4.565401554107666,4.79387903213501
78,so,0.9759516716003418,5.407210826873779
79,state,2.94919490814209,2.208974838256836
80,went,5.553407192230225,5.132944107055664
81,our,2.449960470199585,0.5249519348144531
82,much,0.5017970204353333,4.8317790031433105
83,us,6.306181907653809,3.691617965698242
84,home,5.17043924331665,5.379040718078613
85,against,0.8712403774261475,2.7460875511169434
86,more,1.422254204750061,5.044159889221191
87,received,4.026113033294678,2.3254990577697754
88,other,2.3951568603515625,3.988797426223755
89,than,1.4251912832260132,5.01100492477417
90,again,6.0594072341918945,2.5989630222320557
91,will,-0.6025224924087524,1.45370352268219
92,her,7.243046760559082,4.018582820892334
93,sent,3.5865442752838135,2.2808008193969727
94,de,5.568572521209717,2.889735460281372
95,found,4.9606428146362305,4.7564215660095215
96,first,5.460343360900879,6.514183521270752
97,out,3.8140430450439453,5.115992546081543
98,thought,0.009123161435127258,2.201266288757324
