entry,date,places,coordinates,lat,lon
jqadiaries-v49-1825-01-11,1825-01-11,Russia,"(64.6863136, 97.7453061)",64.6863136,97.7453061
jqadiaries-v49-1825-01-12,1825-01-12,Florida,"(27.7567667, -81.4639835)",27.7567667,-81.4639835
jqadiaries-v49-1825-01-12,1825-01-12,the Creek Indians,"(18.33183555, -64.62883927087358)",18.33183555,-64.62883927087358
jqadiaries-v49-1825-01-12,1825-01-12,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v49-1825-01-12,1825-01-12,Pittsburg,"(40.4416941, -79.9900861)",40.4416941,-79.9900861
jqadiaries-v49-1825-01-12,1825-01-12,Vermont,"(44.5990718, -72.5002608)",44.5990718,-72.5002608
jqadiaries-v49-1825-01-12,1825-01-12,Vermont,"(44.5990718, -72.5002608)",44.5990718,-72.5002608
jqadiaries-v49-1825-01-12,1825-01-12,Maine,"(45.709097, -68.8590201)",45.709097,-68.8590201
jqadiaries-v49-1825-01-12,1825-01-12,Chargé,"(47.4325108, 1.0310754)",47.4325108,1.0310754
jqadiaries-v49-1825-01-12,1825-01-12,Drawing,"(54.2357124, 20.9879562)",54.2357124,20.9879562
jqadiaries-v49-1825-01-12,1825-01-12,Massachusetts,"(42.3788774, -72.032366)",42.3788774,-72.032366
jqadiaries-v49-1825-01-12,1825-01-12,England,"(52.5310214, -1.2649062)",52.5310214,-1.2649062
jqadiaries-v49-1825-01-13,1825-01-13,Virginia,"(37.1232245, -78.4927721)",37.1232245,-78.4927721
jqadiaries-v49-1825-01-13,1825-01-13,the Slave States,"(39.9738906, -75.1910861)",39.9738906,-75.1910861
jqadiaries-v49-1825-01-13,1825-01-13,North of South-Carolina,"(33.6157083, -81.1020414)",33.6157083,-81.1020414
jqadiaries-v49-1825-01-13,1825-01-13,Georgetown,"(6.8137426, -58.1624465)",6.8137426,-58.1624465
jqadiaries-v49-1825-01-13,1825-01-13,New-Hampshire,"(43.4849133, -71.6553992)",43.4849133,-71.6553992
jqadiaries-v49-1825-01-13,1825-01-13,U.S.,"(22.3129176, 114.0429944)",22.3129176,114.0429944
jqadiaries-v49-1825-01-13,1825-01-13,Forsyth,"(39.9325368, -88.9511912)",39.9325368,-88.9511912
jqadiaries-v49-1825-01-13,1825-01-13,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v49-1825-01-13,1825-01-13,H.R.,"(49.6802606, 9.0039212)",49.6802606,9.0039212
jqadiaries-v49-1825-01-14,1825-01-14,Massachusetts,"(42.3788774, -72.032366)",42.3788774,-72.032366
jqadiaries-v49-1825-01-14,1825-01-14,New Bedford,"(41.6362152, -70.934205)",41.6362152,-70.934205
jqadiaries-v49-1825-01-14,1825-01-14,New York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v49-1825-01-14,1825-01-14,Georgetown,"(6.8137426, -58.1624465)",6.8137426,-58.1624465
jqadiaries-v49-1825-01-14,1825-01-14,Dunlop,"(55.7125497, -4.5348109)",55.7125497,-4.5348109
jqadiaries-v49-1825-01-14,1825-01-14,Dunlop,"(55.7125497, -4.5348109)",55.7125497,-4.5348109
jqadiaries-v49-1825-01-14,1825-01-14,Ashton,"(43.311362, -95.791128)",43.311362,-95.791128
jqadiaries-v49-1825-06-06,1825-06-06,St. Francisville,"(30.7807244, -91.3763353)",30.7807244,-91.3763353
jqadiaries-v49-1825-06-06,1825-06-06,Louisiana,"(30.8703881, -92.007126)",30.8703881,-92.007126
jqadiaries-v49-1825-06-06,1825-06-06,St. Francisville,"(30.7807244, -91.3763353)",30.7807244,-91.3763353
jqadiaries-v49-1825-06-15,1825-06-15,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-15,1825-06-15,Annapolis,"(38.9786401, -76.492786)",38.9786401,-76.492786
jqadiaries-v49-1825-06-15,1825-06-15,U.S.,"(22.3129176, 114.0429944)",22.3129176,114.0429944
jqadiaries-v49-1825-06-15,1825-06-15,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-15,1825-06-15,Battery,"(-42.00999, 146.65563)",-42.00999,146.65563
jqadiaries-v49-1825-06-16,1825-06-16,Fayetteville N.C.,"(35.0525759, -78.878292)",35.0525759,-78.878292
jqadiaries-v49-1825-06-17,1825-06-17,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v49-1825-06-17,1825-06-17,Alexandria,"(38.8051095, -77.0470229)",38.8051095,-77.0470229
jqadiaries-v49-1825-06-18,1825-06-18,Dighton,"(38.4819612, -100.4670844)",38.4819612,-100.4670844
jqadiaries-v49-1825-06-18,1825-06-18,Norfolk,"(52.666667, 1.0)",52.666667,1.0
jqadiaries-v49-1825-06-18,1825-06-18,the Creek Indians,"(18.33183555, -64.62883927087358)",18.33183555,-64.62883927087358
jqadiaries-v49-1825-06-18,1825-06-18,Hathaway,"(30.1277124, -94.4818596)",30.1277124,-94.4818596
jqadiaries-v49-1825-06-18,1825-06-18,Vermont,"(44.5990718, -72.5002608)",44.5990718,-72.5002608
jqadiaries-v49-1825-06-18,1825-06-18,Maryland,"(39.5162234, -76.9382069)",39.5162234,-76.9382069
jqadiaries-v49-1825-06-18,1825-06-18,New-Orleans,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-18,1825-06-18,Rockville,"(39.0817985, -77.1516844)",39.0817985,-77.1516844
jqadiaries-v49-1825-06-20,1825-06-20,New-Orleans,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-20,1825-06-20,Petersburg,"(59.938732, 30.316229)",59.938732,30.316229
jqadiaries-v49-1825-06-20,1825-06-20,Natchez,"(31.5604076, -91.403171)",31.5604076,-91.403171
jqadiaries-v49-1825-06-20,1825-06-20,Mississippi,"(32.9715285, -89.7348497)",32.9715285,-89.7348497
