date,sentiment
1817-10-01,-0.0015151515151515097
1817-10-02,0.06737373737373736
1817-10-03,0.024019607843137256
1817-10-04,-0.03148148148148147
1817-10-05,0.0
1817-10-06,-0.009509803921568624
1817-10-07,0.09047619047619047
1817-10-10,0.28392045454545456
1817-10-11,0.08333333333333334
1817-10-12,0.06740196078431372
1817-10-13,0.10666666666666666
1817-10-15,0.13749999999999998
1817-10-16,-0.04791666666666666
1817-10-17,0.1696338383838384
1817-10-19,-0.08333333333333333
1817-10-20,0.11904761904761904
1817-10-21,-0.06999999999999999
1817-10-23,0.018333333333333333
1817-10-24,0.06739130434782609
1817-10-25,-0.03518518518518518
1817-10-27,-0.024999999999999994
1817-10-28,0.048484848484848485
1817-10-29,0.1015
1817-10-30,0.06593455564043799
1817-10-31,0.05717592592592592
1817-10,-0.023809523809523805
1817-12-01,0.13011363636363638
1817-12-02,-0.01942355889724311
1817-12-03,-0.075
1817-12-04,-0.024885010822510822
1817-12-05,0.014434523809523814
1817-12-06,0.12825304540420815
1817-12-08,0.16196969696969696
1817-12-09,0.03292748917748919
1817-12-10,-0.019561688311688315
1817-12-11,-0.06666666666666667
1817-12-12,-0.01753968253968253
1817-12-14,0.21071428571428572
1817-12-16,-0.012755102040816323
1817-12-18,-0.005208333333333331
1817-12-19,0.1775
1817-12-20,-0.1388888888888889
1817-12-21,-0.08333333333333333
1817-12-22,-0.06833333333333333
1817-12-23,-0.17777777777777773
1817-12-24,0.062025813692480364
1817-12-25,-0.10500000000000001
1817-12-26,0.040128205128205134
1817-12-27,-0.04197860962566844
1817-12-28,-0.12
1817-12-29,0.05499999999999999
1817-12-30,-0.14555555555555552
1817-12-31,0.14293650793650794
1817-12,0.08205882352941177
1817-09-01,0.0
1817-09-02,0.12142857142857144
1817-09-04,0.08974358974358977
1817-09-05,0.1416971916971917
1817-09-06,0.10930735930735934
1817-09-08,0.010416666666666675
1817-09-09,0.08928571428571429
1817-09-11,0.11851370851370853
1817-09-12,0.03475082388875493
1817-09-13,0.08363945578231294
1817-09-15,-0.06926997245179062
1817-09-16,0.159375
1817-09-18,0.13085858585858587
1817-09-19,0.16976190476190478
1817-09-20,0.07048771121351768
1817-09-23,0.15
1817-09-25,-0.036309523809523805
1817-09-27,0.022222222222222233
1817-09-28,0.225
1817-09-29,0.009090909090909092
1817-09-30,0.10666666666666669
1817-09,0.0
1817-11-01,0.07446969696969698
1817-11-02,0.0033057851239669434
1817-11-03,-0.35714285714285715
1817-11-04,0.03490990990990992
1817-11-05,-0.02666666666666666
1817-11-06,-0.02666666666666666
1817-11-07,0.04513068181818182
1817-11-08,0.0968390804597701
1817-11-09,0.10741505968778697
1817-11-10,-0.00611111111111111
1817-11-11,0.062121212121212126
1817-11-12,-0.0537962037962038
1817-11-14,0.0027777777777777835
1817-11-15,0.05
1817-11-16,0.025
1817-11-19,-0.08499999999999999
1817-11-20,-0.011249999999999993
1817-11-21,-0.03680555555555555
1817-11-22,0.11720430107526883
1817-11-24,0.02530487804878049
1817-11-25,0.04615384615384614
1817-11-26,-0.03444602272727272
1817-11-28,0.03035714285714286
1817-11-29,0.16233766233766236
1817-11-30,0.17272727272727273
1817-11,-0.125
1825-01-10,-0.047402597402597405
1825-01-11,-0.04107142857142855
1825-01-12,0.05525210084033613
1825-01-13,0.05059808612440192
1825-06-17,0.05000000000000002
1825-06-18,0.4
1825-06-20,0.3375
1825-06-21,0.6
1825-06-22,-0.16666666666666666
1825-06-26,-0.04374999999999999
1825-06-27,0.1875
1825-06-28,-0.03472222222222222
1825-06-29,0.0
1825-06-30,0.06534090909090909
1825-06,-0.015914786967418548
1825-03-02,0.04719387755102041
1825-03-03,0.06466942148760332
1825-03-04,-0.014080459770114939
1825-03-05,0.13082922824302132
1825-03-07,0.1244047619047619
1825-03-08,0.04243506493506493
1825-03-09,0.0841517857142857
1825-03-10,0.012272727272727274
1825-08-01,0.03333333333333334
1825-08-05,0.08804112554112555
1825-08-08,0.08571428571428572
1825-08-12,0.02309027777777778
1825-08-14,0.24062499999999998
1825-08-22,0.06304945054945056
1825-08-23,-0.028750000000000005
1825-08-24,0.03125
1825-08-26,0.07993827160493827
1825-08-27,0.15149891774891777
1825-08-28,0.026041666666666657
1825-08-29,-0.0011772486772486722
1825-08-30,-0.00022321428571428492
1825-08,-0.13333333333333333
1825-07-06,0.1037202380952381
1825-07-08,0.034375
1825-07-09,0.004335016835016827
1825-07-11,0.1325
1825-07-20,-0.007070707070707073
1825-07-21,0.08671328671328672
1825-07-22,-0.02428974005060961
1825-07-26,0.16977272727272727
1825-07-28,0.09415898617511521
1825-07-30,-0.011268939393939418
1825-02-01,0.04889329805996473
1825-02-02,0.11649305555555554
1825-02-03,0.12833333333333333
1825-02-04,0.22752976190476187
1825-02-05,0.02732233044733046
1825-02-06,0.24471153846153848
1825-02-07,0.11368906455862979
1825-02-08,0.034090909090909095
1825-02-09,0.0955654761904762
1825-02-10,0.0020833333333333376
1825-02-11,0.14000553709856037
1825-02-12,0.08225454545454547
1825-02-23,-0.125
1825-02-24,-0.4266666666666666
1825-02-25,0.057272727272727274
1825-02-26,-0.23238636363636364
1825-05-05,0.01697957839262187
1825-05-06,0.07789308905380334
1825-05-07,0.09555555555555556
1825-05-10,0.09008912655971481
1825-05-14,-0.06679841897233203
1825-05-15,-0.003296703296703287
1825-05-16,0.02023935366958623
1825-05-17,-0.02821846713892168
1825-05-18,0.07871621621621622
1825-05-19,0.11135475051264523
1825-05-20,0.10538911845730027
1825-05-21,-0.12916666666666668
