entry,date,subject,x,y
jqadiaries-v27-1808-08-01,1808-08-01,Recreation,2.5199038982391357,3.6840925216674805
jqadiaries-v27-1808-08-02,1808-08-02,Recreation,3.2958872318267822,2.96002197265625
jqadiaries-v27-1808-08-03,1808-08-03,Recreation,2.9076900482177734,4.0893731117248535
jqadiaries-v27-1808-08-04,1808-08-04,Recreation,4.283763408660889,1.686539888381958
jqadiaries-v27-1808-08-05,1808-08-05,Boylston Professor of Rhetoric and Oratory (1805-1809),2.7308413982391357,2.564133644104004
jqadiaries-v27-1808-08-06,1808-08-06,,1.6935392618179321,3.426318645477295
jqadiaries-v27-1808-08-07,1808-08-07,Boylston Professor of Rhetoric and Oratory (1805-1809),3.2334883213043213,3.809860944747925
jqadiaries-v27-1808-08-08,1808-08-08,Recreation,3.8593435287475586,2.4616758823394775
jqadiaries-v27-1808-08-09,1808-08-09,Embargo,1.9349727630615234,2.5986368656158447
jqadiaries-v27-1808-08-10,1808-08-10,,2.1601107120513916,3.414437770843506
jqadiaries-v27-1808-08-11,1808-08-11,,0.8888696432113647,3.5346343517303467
jqadiaries-v27-1808-08-12,1808-08-12,Boylston Professor of Rhetoric and Oratory (1805-1809),2.0044353008270264,2.4977211952209473
jqadiaries-v27-1808-08-13,1808-08-13,,1.1298675537109375,4.663034439086914
jqadiaries-v27-1808-08-14,1808-08-14,,3.817394971847534,1.633712649345398
jqadiaries-v27-1808-08-15,1808-08-15,,2.8121755123138428,2.394280433654785
jqadiaries-v27-1808-08-16,1808-08-16,,2.962946653366089,2.25895357131958
jqadiaries-v27-1808-08-17,1808-08-17,,4.176353931427002,2.900705099105835
jqadiaries-v27-1808-08-18,1808-08-18,,3.577641725540161,2.099764347076416
jqadiaries-v27-1808-08-19,1808-08-19,,2.0772969722747803,3.7576661109924316
jqadiaries-v27-1808-08-20,1808-08-20,,3.3703999519348145,2.626650333404541
jqadiaries-v27-1808-08-21,1808-08-21,,4.7525410652160645,1.5309163331985474
jqadiaries-v27-1808-08-22,1808-08-22,,4.745095252990723,1.8567644357681274
jqadiaries-v27-1808-08-23,1808-08-23,,3.1781084537506104,2.752490758895874
jqadiaries-v27-1808-08-24,1808-08-24,Health and Illness,4.876086711883545,2.4563562870025635
jqadiaries-v27-1808-08-25,1808-08-25,,3.61014461517334,1.821130394935608
jqadiaries-v27-1808-08-26,1808-08-26,,3.993129014968872,2.3666300773620605
jqadiaries-v27-1808-08-27,1808-08-27,,4.109959602355957,2.2317392826080322
jqadiaries-v27-1808-08-28,1808-08-28,,3.407317876815796,3.346377372741699
jqadiaries-v27-1808-08-29,1808-08-29,,3.869044303894043,1.8104593753814697
jqadiaries-v27-1808-08-30,1808-08-30,,4.15545654296875,1.7604204416275024
jqadiaries-v27-1808-08-31,1808-08-31,,3.7982630729675293,2.26865816116333
jqadiaries-v27-1808-08-xx,1808-08,,3.4514615535736084,3.4345741271972656
jqadiaries-v27-1808-06-01,1808-06-01,Multiple-Subjects,3.1449360847473145,2.765869379043579
jqadiaries-v27-1808-06-02,1808-06-02,,0.9060441851615906,1.9417253732681274
jqadiaries-v27-1808-06-03,1808-06-03,,4.332701206207275,2.4286820888519287
jqadiaries-v27-1808-06-04,1808-06-04,,4.3550496101379395,2.6303763389587402
jqadiaries-v27-1808-06-05,1808-06-05,,4.495931148529053,2.437171220779419
jqadiaries-v27-1808-06-06,1808-06-06,,4.162073135375977,2.3059747219085693
jqadiaries-v27-1808-06-07,1808-06-07,Essex Junto,2.0100033283233643,2.3107035160064697
jqadiaries-v27-1808-06-08,1808-06-08,Embargo,4.654015064239502,1.7989174127578735
jqadiaries-v27-1808-06-09,1808-06-09,,3.4097375869750977,2.3622589111328125
jqadiaries-v27-1808-06-10,1808-06-10,Boylston Professor of Rhetoric and Oratory (1805-1809),4.524866104125977,2.1147568225860596
jqadiaries-v27-1808-06-11,1808-06-11,,4.125026226043701,2.493129014968872
jqadiaries-v27-1808-06-12,1808-06-12,,4.9749579429626465,2.534613847732544
jqadiaries-v27-1808-06-13,1808-06-13,,4.336120128631592,1.7710505723953247
jqadiaries-v27-1808-06-14,1808-06-14,,4.114367485046387,1.7657804489135742
jqadiaries-v27-1808-06-15,1808-06-15,,3.632270574569702,1.9064898490905762
jqadiaries-v27-1808-06-16,1808-06-16,,5.636852741241455,1.1723252534866333
jqadiaries-v27-1808-06-17,1808-06-17,Multiple-Subjects,2.1618802547454834,4.993268013000488
jqadiaries-v27-1808-06-18,1808-06-18,,3.725703477859497,2.2505125999450684
jqadiaries-v27-1808-06-19,1808-06-19,,4.330894947052002,2.3085176944732666
jqadiaries-v27-1808-06-20,1808-06-20,Health and Illness,4.171414375305176,2.0729808807373047
jqadiaries-v27-1808-06-21,1808-06-21,,4.877624988555908,2.1690289974212646
jqadiaries-v27-1808-06-22,1808-06-22,,2.809542179107666,2.7366280555725098
jqadiaries-v27-1808-06-23,1808-06-23,,4.375758171081543,1.5411739349365234
jqadiaries-v27-1808-06-24,1808-06-24,Health and Illness,2.370100736618042,3.42537784576416
jqadiaries-v27-1808-06-25,1808-06-25,,2.8728227615356445,3.726917028427124
jqadiaries-v27-1808-06-26,1808-06-26,,4.467162132263184,2.05485200881958
jqadiaries-v27-1808-06-27,1808-06-27,,3.627220869064331,2.168053150177002
jqadiaries-v27-1808-06-28,1808-06-28,,4.3898725509643555,2.115403175354004
